outage_id,tower_id,outage_start,outage_end,duration_minutes,severity,cause,estimated_impacted_users
OTG00240,TWR00004,2026-04-18 16:16:00,2026-04-18 19:16:00,180,Critical,Backhaul Link Degraded,384
OTG00241,TWR00090,2026-08-23 14:21:00,2026-08-23 16:21:00,120,Minor,Severe Weather / Heavy Rain,415
OTG00242,TWR00090,2026-07-28 08:20:00,2026-07-28 09:50:00,90,Minor,Scheduled Firmware Maintenance,219
OTG00243,TWR00007,2026-01-02 23:41:00,2026-01-03 05:41:00,360,Major,Commercial Power Outage,3158
OTG00244,TWR00011,2026-04-21 19:47:00,2026-04-21 22:47:00,180,Minor,Commercial Power Outage,2041
OTG00245,TWR00002,2026-06-26 16:39:00,2026-06-26 17:39:00,60,Major,Fiber Cut,2739
OTG00246,TWR00042,2026-01-11 13:39:00,2026-01-11 15:39:00,120,Major,Backhaul Link Degraded,3030
OTG00247,TWR00015,2026-03-04 02:35:00,2026-03-04 02:50:00,15,Critical,Fiber Cut,2985
OTG00248,TWR00029,2026-08-16 22:01:00,2026-08-17 02:01:00,240,Minor,Commercial Power Outage,2002
OTG00249,TWR00058,2026-03-31 06:31:00,2026-03-31 08:31:00,120,Major,Fiber Cut,1590
OTG00250,TWR00094,2026-01-15 07:09:00,2026-01-15 07:24:00,15,Major,Commercial Power Outage,415
